url_length,num_dots,num_hyphens,num_underscores,num_slashes,num_special_chars,digit_ratio,letter_ratio,has_port,url_entropy,domain_length,num_subdomains,has_ip_address,has_at_symbol,has_double_slash_redirect,tld_suspicious,has_hyphen_in_domain,subdomain_depth,path_length,num_query_params,has_fragment,path_depth,has_hex_encoding,num_digits_in_path,path_entropy,has_phishing_keywords,has_brand_keywords,has_https,has_login_words,suspicious_tld,brand_in_domain,is_official_domain,is_brand_impersonation,min_levenshtein_to_official,is_typosquatting,brand_mismatch_score,has_phishing_keywords_enhanced,combined_suspicious_score,is_bare_domain,label
21,1,0,0,2,0,0.0,0.8095238095238095,0,3.6538,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
28,1,0,0,3,0,0.03571428571428571,0.7857142857142857,0,4.182,9,0,0,0,0,0,0,0,11,0,0,1,0,1,3.2776,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1
16,1,0,0,2,0,0.0,0.75,0,3.625,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.6163,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
21,1,0,0,2,0,0.0,0.8095238095238095,0,3.6897,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
22,1,0,0,2,0,0.0,0.8181818181818182,0,3.7888,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0
52,3,0,0,5,0,0.23076923076923078,0.5961538461538461,0,4.5294,17,2,0,0,0,0,0,2,27,0,0,3,0,12,3.9303,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20,1,0,0,2,0,0.0,0.8,0,3.6464,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
23,2,0,0,3,0,0.043478260869565216,0.6956521739130435,0,3.969,8,1,0,0,0,0,0,1,7,0,0,1,0,1,2.5216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
41,1,0,0,5,0,0.0975609756097561,0.7317073170731707,0,4.4826,10,0,0,0,0,0,0,0,23,0,0,3,0,1,4.1429,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1
20,1,0,0,2,0,0.0,0.8,0,3.7842,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
36,2,0,0,3,0,0.0,0.8333333333333334,0,3.8145,27,1,0,0,0,0,0,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1
29,2,0,0,3,0,0.0,0.7931034482758621,0,4.1423,20,1,0,0,0,0,0,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1
16,1,0,0,2,0,0.0,0.75,0,3.3278,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
21,1,0,0,2,0,0.0,0.8095238095238095,0,3.5585,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
21,1,1,0,3,0,0.0,0.7142857142857143,0,3.749,6,0,0,0,0,0,1,0,7,0,0,1,0,0,2.5216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,1,0,0,2,0,0.0,0.7142857142857143,0,3.2359,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
17,1,0,0,2,0,0.0,0.7647058823529411,0,3.6901,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
24,1,0,0,2,0,0.0,0.8333333333333334,0,3.9387,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,9,0,0,0,0,1,0
19,2,0,0,2,0,0.0,0.7368421052631579,0,3.8269,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
16,1,0,0,2,0,0.0,0.75,0,3.4528,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
42,1,0,0,5,0,0.16666666666666666,0.6666666666666666,0,4.5382,11,0,0,0,0,0,0,0,23,0,0,3,0,4,4.1429,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.5724,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
23,1,0,0,2,0,0.0,0.8260869565217391,0,3.4642,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.5766,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.6144,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
26,1,0,0,2,0,0.0,0.8461538461538461,0,3.7633,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0
38,3,1,0,4,0,0.23684210526315788,0.5263157894736842,0,4.386,15,2,0,0,0,0,0,2,15,0,0,2,0,9,3.5069,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
66,3,2,1,5,0,0.0,0.8181818181818182,0,4.5195,15,0,0,0,0,0,0,0,43,0,0,3,0,0,4.2488,0,0,1,0,0,0,0,0,9,0,0,0,0,0,1
84,2,1,1,6,0,0.09523809523809523,0.7738095238095238,0,5.1686,15,1,0,0,0,0,0,1,61,0,0,4,0,8,5.1395,0,1,1,0,0,1,0,1,0,0,1,1,5,0,1
25,1,0,0,2,0,0.0,0.84,0,3.8137,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,10,0,0,0,0,1,0
56,2,1,0,3,0,0.19642857142857142,0.6428571428571429,0,4.7229,31,1,0,0,0,0,1,1,10,1,0,1,0,9,2.4464,0,0,1,0,0,0,0,0,17,0,0,0,0,0,1
32,2,1,0,3,0,0.0,0.78125,0,4.1167,23,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1
41,2,1,0,3,0,0.0,0.8292682926829268,0,4.162,32,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,1
21,1,1,0,3,0,0.047619047619047616,0.6666666666666666,0,3.8442,6,0,0,0,0,0,1,0,7,0,0,1,0,1,2.8074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
21,1,0,0,2,0,0.0,0.8095238095238095,0,4.0707,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
24,2,0,0,2,0,0.0,0.7916666666666666,0,3.7721,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0
16,1,0,0,2,0,0.0,0.75,0,3.4528,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
41,2,2,0,3,0,0.14634146341463414,0.6585365853658537,0,4.3755,32,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,1
37,2,1,0,4,0,0.0,0.7837837837837838,0,3.7727,22,1,0,0,0,0,1,1,7,0,0,2,0,0,2.5216,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1
28,2,0,0,3,0,0.0,0.7857142857142857,0,3.8249,10,0,0,0,0,1,0,0,10,0,0,1,0,0,2.9219,0,0,1,0,1,0,0,0,5,0,0,0,3,0,1
53,2,5,0,3,0,0.22641509433962265,0.5660377358490566,0,4.4235,44,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,1
17,1,0,0,2,0,0.058823529411764705,0.7058823529411765,0,3.7345,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
16,1,0,0,2,0,0.0,0.75,0,3.5778,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
17,1,0,0,2,0,0.0,0.7647058823529411,0,3.6901,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
27,1,0,0,2,0,0.0,0.8518518518518519,0,3.8842,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0
22,1,0,0,3,0,0.09090909090909091,0.6818181818181818,0,4.1524,7,0,0,0,0,0,0,0,7,0,0,1,0,2,2.8074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
35,1,1,0,3,0,0.0,0.8285714285714286,0,3.9002,21,0,0,0,0,0,1,0,7,0,0,1,0,0,2.2359,1,1,0,1,0,1,0,1,8,0,1,1,7,0,1
17,1,0,0,2,0,0.0,0.7647058823529411,0,3.2639,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
25,1,0,0,2,0,0.12,0.72,0,3.9737,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0
50,4,1,0,5,0,0.1,0.68,0,4.4713,26,2,0,0,0,0,1,2,16,0,0,3,0,0,3.2806,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.8269,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.5369,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0
84,2,0,0,6,0,0.13095238095238096,0.7619047619047619,0,5.1389,15,1,0,0,0,0,0,1,61,0,0,4,0,11,5.0927,0,1,1,0,0,1,0,1,0,0,1,1,5,0,1
17,1,0,0,2,0,0.0,0.7647058823529411,0,3.4548,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
14,1,0,0,2,0,0.0,0.7142857142857143,0,3.5216,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
23,2,0,0,3,0,0.043478260869565216,0.6956521739130435,0,3.8492,8,1,0,0,0,0,0,1,7,0,0,1,0,1,2.5216,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
42,2,1,0,3,0,0.0,0.8333333333333334,0,3.8356,22,0,0,0,0,0,1,0,12,0,0,1,0,0,2.6887,0,0,1,0,0,0,0,0,15,0,0,0,0,0,1
22,1,0,0,2,0,0.0,0.8181818181818182,0,3.6412,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
31,2,1,0,3,0,0.12903225806451613,0.6451612903225806,0,4.0424,22,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,1
21,1,0,0,2,0,0.0,0.8095238095238095,0,3.6897,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
44,2,3,0,3,0,0.0,0.7954545454545454,0,3.9076,30,1,0,0,0,0,1,1,6,0,0,1,0,0,2.585,0,0,1,0,0,0,0,0,15,0,0,0,0,0,1
29,1,0,0,3,0,0.0,0.8275862068965517,0,4.1423,10,0,0,0,0,0,0,0,11,0,0,1,0,0,3.2776,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.9477,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
71,4,0,0,3,0,0.0,0.8450704225352113,0,4.4094,20,0,0,1,0,0,0,0,9,1,0,1,0,0,3.1699,0,0,1,0,0,0,0,0,13,0,0,0,0,0,1
20,1,0,0,2,0,0.0,0.8,0,3.7464,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.7947,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
40,2,0,0,3,0,0.0,0.85,0,4.3776,23,1,0,0,0,0,0,1,9,0,0,1,0,0,3.1699,1,0,1,1,0,0,0,0,4,0,0,1,2,0,1
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.5724,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
16,1,0,0,2,0,0.0,0.75,0,3.75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.8269,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
15,1,0,0,2,0,0.2,0.5333333333333333,0,3.4566,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
40,2,0,0,3,0,0.0,0.85,0,4.2087,31,1,0,0,0,0,0,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,1
84,2,0,0,6,0,0.07142857142857142,0.8214285714285714,0,5.2298,15,1,0,0,0,0,0,1,61,0,0,4,0,6,5.0556,0,1,1,0,0,1,0,1,0,0,1,1,5,0,1
21,1,0,0,2,0,0.0,0.8095238095238095,0,3.7257,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
22,1,0,0,2,0,0.045454545454545456,0.7727272727272727,0,3.9706,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
85,1,0,0,5,0,0.15294117647058825,0.7176470588235294,0,4.7975,21,0,0,0,0,0,0,0,41,0,0,3,0,10,4.2779,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1
58,1,0,0,5,0,0.3103448275862069,0.5517241379310345,0,4.755,14,0,0,0,0,0,0,0,22,0,1,3,0,13,3.7544,1,0,1,0,0,0,0,0,9,0,0,1,2,0,1
17,1,0,0,2,0,0.0,0.7647058823529411,0,3.2195,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
43,2,2,0,3,0,0.0,0.813953488372093,0,4.0742,34,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,1
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.5305,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,0
14,1,0,0,2,0,0.0,0.7142857142857143,0,3.182,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
45,2,2,0,3,0,0.13333333333333333,0.6888888888888889,0,4.3559,36,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,1
16,1,0,0,2,0,0.0,0.75,0,3.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
22,1,1,0,2,0,0.0,0.7727272727272727,0,3.8797,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.281,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
41,2,2,0,3,0,0.14634146341463414,0.6585365853658537,0,4.3083,32,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,1
35,2,0,0,5,0,0.08571428571428572,0.6857142857142857,0,4.1259,13,1,0,0,0,0,0,1,14,0,0,3,0,1,3.182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16,1,0,0,2,0,0.0,0.75,0,3.4528,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
16,1,0,0,2,0,0.0,0.75,0,3.4528,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
43,2,2,0,3,0,0.13953488372093023,0.6744186046511628,0,4.3731,34,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,1
24,1,0,0,2,0,0.0,0.8333333333333334,0,4.0221,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
42,2,1,0,4,0,0.07142857142857142,0.7380952380952381,0,4.2611,27,1,0,0,0,0,1,1,7,0,0,2,0,0,2.2359,0,0,1,0,0,0,0,0,15,0,0,0,0,0,1
21,1,0,0,2,0,0.0,0.8095238095238095,0,3.7257,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
38,1,0,0,3,0,0.05263157894736842,0.8157894736842105,0,4.4187,19,0,0,0,0,0,0,0,11,0,0,1,0,2,3.4594,0,0,1,0,0,0,0,0,12,0,0,0,0,0,1
43,2,2,0,3,0,0.023255813953488372,0.7906976744186046,0,4.1383,34,1,0,0,0,0,1,1,1,0,0,1,0,0,-0.0,0,0,1,1,0,0,0,0,14,0,0,0,0,0,1
84,2,1,2,6,0,0.10714285714285714,0.75,0,5.1018,15,1,0,0,0,0,0,1,61,0,0,4,0,9,5.0148,0,1,1,0,0,1,0,1,0,0,1,1,5,0,1
18,1,0,0,2,0,0.0,0.7777777777777778,0,3.3083,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
43,1,1,0,3,0,0.06976744186046512,0.7441860465116279,0,4.5364,15,0,0,0,0,1,1,0,7,1,0,1,0,0,2.8074,1,1,1,0,1,1,0,1,2,1,1,1,13,0,1
22,1,0,0,2,0,0.0,0.8181818181818182,0,3.6069,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0
15,1,0,0,2,0,0.06666666666666667,0.6666666666666666,0,3.5069,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
17,1,0,0,2,0,0.0,0.7647058823529411,0,3.4548,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
97,3,1,0,7,0,0.2268041237113402,0.6288659793814433,0,4.7526,20,1,0,0,0,0,0,1,35,0,0,5,0,2,3.8542,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1
38,2,0,0,3,0,0.0,0.8421052631578947,0,4.1357,22,1,0,0,0,0,0,1,8,0,0,1,0,0,2.75,0,0,1,0,0,0,0,0,11,0,0,0,0,0,1
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.5766,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,0
22,1,0,0,3,0,0.045454545454545456,0.7272727272727273,0,4.0615,7,0,0,0,0,0,0,0,7,0,0,1,0,1,2.8074,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
29,1,0,0,2,0,0.0,0.8620689655172413,0,3.742,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,13,0,0,0,0,1,0
29,2,0,0,3,0,0.0,0.7931034482758621,0,3.6899,20,1,0,0,0,0,0,1,1,0,0,1,0,0,-0.0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1
19,1,0,0,2,0,0.0,0.7894736842105263,0,3.7216,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0
25,2,0,0,3,0,0.0,0.76,0,3.7835,9,0,0,0,0,0,0,0,8,0,0,1,0,0,3.0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1
